"","Comentario"
"5666","Exelente compra y conforme cama muy c<U+FFFD>moda y firme ... el despacho duper r<U+FFFD>pido considerando que fue a la XV regi<U+FFFD>n (Arica) ahora ir<U+FFFD> por el sof<U+FFFD> jajaja
<U+2714> Sí, recomiendo este producto."
"5667","Para quienes quieran dormir c<U+FFFD>modamente.... no lo duden en comprarla.
<U+2714> Sí, recomiendo este producto."
"5668","Buen precio, lindo modelo y c<U+FFFD>moda. La dejaron armada en mi pieza los mismos chicos del despacho.
<U+2714> Sí, recomiendo este producto."
"5669","Buen producto . Confort para un buen dormir . 100% recomendado aparte su precio esta mas economico que cualquiera
<U+2714> Sí, recomiendo este producto."
"5670","Estupenda cama Rosen, dormimos muy bien es supr relajante, comoda muy buen colchon al dia siguiente no queremos levantarnos por el calor y comodidad de la cama Ergo T-2 de Rosen, es fantastica
<U+2714> Sí, recomiendo este producto."
"5671","Excelente producto, ya llevo un a<U+FFFD>o y ning<U+FFFD>n inconveniente, mi espalda lo agradece.
<U+2714> Sí, recomiendo este producto."
"5672","Excelente la compra, un colch<U+FFFD>n exquisito, y la base muy firme, nada que decir, con un buen cubre colch<U+FFFD>n queda impeque.
<U+2714> Sí, recomiendo este producto."
"5673","PERFECTO PARA EL ESPACIO DE LA PIEZA CON ESTE DIVAN RESOLVIMOS EL PROBLEMA DE BUEN DORMIR DE MIS 2 HIJAS, GRACIAS POR SUGERIRNOS ESTA ALTERNATIVA ."
"5674","La cama es alta pero muy c<U+FFFD>moda y la cama base tambi<U+FFFD>n lo es , me gust<U+FFFD> que la principal no tenga ruedas, ya que la anterior que tuve se mov<U+FFFD>a mucho a<U+FFFD>n con las ruedas bloqueadas. Estoy conforme con la compra que hice siempre espero lo mejor de Rosen,
<U+2714> Sí, recomiendo este producto."
"5675","desde que tenemos la cama todos los d<U+FFFD>as despertamos con dolor de espalda. No s<U+FFFD> a que se debe eso :(((( quiero otra pero me da miedo comprar y que me siga doliendo la espalda"
"5676","EXCELENTE COLCHON, HERMOSO DISE<U+FFFD>O DE VELADORES Y RESPALDOS, FACIL INSTALACION, BASE LIVIANA PARA MOVER, EN GENERAL HERMOSO Y COMODO, MUY BUEN PRODUCTO
<U+2714> Sí, recomiendo este producto."
"5677","Esta cama la compre hace 1 semana y nada que decir. Estupenda. La base es bastante estable, resistente y se ve que es duradera en el tiempo. Es alta (estaba acostumbrado a las con ruedas) y bastante linda. El colchon es comodo incluso para personas hiper delicadas de la espalda como yo. Esta cama con buen respaldo queda maravillosa. Asegura un muy buen dormir. Totalmente recomendable.
<U+2714> Sí, recomiendo este producto."
"5678","La cama en si es rica y cómoda, pero el problema es que el colchon de abajo no tiene base, eso no se nota en la foto ni se menciona en la descripción del producto, por lo que no se puede hacer bien la cama, quedan colgando las sábanas y frazadas, sin tener donde afirmarlas en la parte de los pies por lo que la cama se desarma entera. Ademas al arrastrar las sábanas y frazadas se enredan con la ruedas quedando sucias y en definitiva viendose siempre desordenado puen ni el faldón del colchon superior logra tapar la cama de abajo. En definitiva no recomiendo este producto para uso habitual pues no combiene si la cama de abajo se quiere mantener hecha permanentemente para su uso."
"5679","Lo compre en octubre 2015, lo ocupa mi hija de 11 años y el colchón esta hundido.
Lleva 21 meses y ya tendré que cambiar el colchón, la garantía dura solo un año.
Me sorprende en una marca como Rosen."
"5680","Este diván es realmente salvaje, es una maravilla.
<U+2714> Sí, recomiendo este producto."
"5681","Suena demasiado la base me la compre hace aprox. Un mes y ya la quiero cambiar porque me doy vuelta y me despierta!!!"
"5682","La cama es muy buena y cómoda. Ocupa muy poco espacio, muy funcional. Está realmente salvaje, es una maravilla.
<U+2714> Sí, recomiendo este producto."
"5683","Tengo esta cama del mes de noviembre del año pasado,no lleva un año y esta hundido en un lado.Lamentablemente perdí las boletas y papeles de la garantía. Lo único bueno es la base q es firme."
"5684","Tengo esta cama hace casi un año y esta como nueva, jamas se ha hundido ni nada, es muy comoda. Buena relacion precio calidad
<U+2714> Sí, recomiendo este producto."
"5685","compré este producto hace 10 meses y la base la he tenido que cambiar dos veces, la base suena mucho, para el precio que se tiene que pagar es de mala calidad."
"5686","COMPRE ESTE PRODUCTO HACE UNOS MESES ATRÁS, EL COLCHÓN NO ES BUENO AL IGUAL QUE LAS SÁBANAS, YO TENIA UN COLCHÓN SPAIRS O ALGO ASÍ. Y ES LEJOS MEJOR, POR LO TANTO PUEDO NOTAR LA DIFERENCIA, QUEDE UN POCO DESILUSIONADO CON LA COMPRA, LO MALO QUE YO LO RECOMENDÉ A OTRA PERSONA Y TAMBIÉN RECLAMA LO MISMO"
"5687","Si bien se entiende que por este valor, no será de buena calidad, no duró ni 6 meses sin deformarse."
"5688","NO me gustó la cama. Compré este box spring hace 6 meses y el colchón se hundió justo al medio de la cama. Además el precio es muy caro para la mala calidad. Me desilusionó la marca ROSEN. No volveré a comprar esta marca"
"5689","ya 4 año y el colchon se ""revento"" se sienten todos los resortes es horrible dormir y dolor de espalda todo el dia, lo malo no hay garantia. me cambio a un drimkip a ver que pasa."
"5690","Me desilusionó la calidad de ROSEN. Compramos esta cama hace 6 meses y se hundió el espesor del colchón en el lado izquierdo. Ahora estoy con dolores de espalda. No volveré comprar camas de esta marca."
"5691","La cama es fantastica y el espacio del baúl es bastante grande para guardar muchas cosas y mantener ordenada la pieza. Además los accesorios(sabanas, cobertor y almohada) muy bonitos. Estoy feliz con mi compra."
"5692","buen producto. Ademas llego el dia pactado . Muy conforme con los transportistas de rosen , porque lo armaron , fueron muy amables.
<U+2714> Sí, recomiendo este producto."
"5693","hace un mes
<U+2714> Sí, recomiendo este producto."
"5694","Confortable y de excelente calidad. Los envios siempre llegan en la fecha indicada inclusive antes. Te avisan oportunamente. Contenta con la compra y el despacho
<U+2714> Sí, recomiendo este producto."
"5695","Es excelente muy confortable lo recomendaría de todas maneras
<U+2714> Sí, recomiendo este producto."
"5696","Compré este producucto por su calidad y marca.....creo que necesitamos más calidad como está para sentirnos apoyados con el esfuerzo que ponemos para tener algo de calidad ....y esta compra cumplio con mi necesidad.....bueno bonito barato....gracias
<U+2714> Sí, recomiendo este producto."
"5697","Compré esta cama hace poco para mi segundo hijo. La primera tiene la misma cama y ha resultado buenísima. Buena calidad y útil porque es su primera cama, para evitar que se caiga abro la cama de abajo y en el futuro les servirá cuando inviten a sus amiguitos a alojar.
<U+2714> Sí, recomiendo este producto."
"5698","Compre este producto por que me encanta la marca Rosen y la Tienda Falabella
<U+2714> Sí, recomiendo este producto."
"5699","TENGO MI MUEBLE CAMA HACE MAS DE UN AÑO Y AHORA LE COMPRE LA MISMA A MI MAMA .....PORQUE EL MUEBLE ME HA SERVIDO PARA GUARDAR ROPA DE CAMA O ROPA DE OTRA TEMPORADA....Y ADEMAS ES MUY COMODA
<U+2714> Sí, recomiendo este producto."
"5700","Ya he comprado esta marca con anterioridad y estoy bastante conforme.
<U+2714> Sí, recomiendo este producto."
"5701","Hace un mes que lo tengo y es perfecto, sobretodo para los que preferimos un colchón más rígido.
Excelente calidad y buen precio
<U+2714> Sí, recomiendo este producto."
"5702","Excelente cama muy cómoda
<U+2714> Sí, recomiendo este producto."
"5703","bueno el colchon , muy mala la entrega
<U+2714> Sí, recomiendo este producto."
"5704","compre el mes pasado el boxspring muy recomendable comodo de buena calidad y estetica muy facil de combinar remonendable al 100% para nosotros las chiquillas de la tercera edad aaa y las otras edades tambien
<U+2714> Sí, recomiendo este producto."
"5705","Nada que decir de la cama, una excelente compra, cumplió completamente mis expectativas, calidad, altura, comodidad, diseño, etc... ya que la compre por internet!!
<U+2714> Sí, recomiendo este producto."
"5706","Es comodo, elegante y facil de armar
<U+2714> Sí, recomiendo este producto."
"5707","Excelente producto! Cumplió satisfactoriamente con mis espectativa... la compre pensando en mi hijo! A el simplemente le encantó!
Muy cómoda la cama y muy fácil de armar aunque no sean expertos!
<U+2714> Sí, recomiendo este producto."
"5708","Compre este producto hace aproximadamente un mes y cumple con todo lo prometido, las terminaciones son muy buenas, es súper linda, es un poco alta (acostumbrada a las camas americanas) el colchón es súper cómodo, la recomiendo 100%
<U+2714> Sí, recomiendo este producto."
"5709","Lo compré para mi hija. Es perfecto.
<U+2714> Sí, recomiendo este producto."
"5710","Compre una cama modelo ergot muy cómoda y acogedora gracias a eso mi dormir es bueno por las noches especial mente cuando llegó agotado del trabajo la recomiendo al 100%
Gracias falabella y rosen por esta oportunidad
<U+2714> Sí, recomiendo este producto."
"5711","Compre este producto para mi hija y le encanta su cama es cómoda puede dormir con su espalda recta . Lo recomiendo el despacho llegó en el día indicado todo ok
<U+2714> Sí, recomiendo este producto."
"5712","Compré esta cama hace 1 mes aproximadamente y es muy cómoda, además de entregar una gran relación precio/calidad
<U+2714> Sí, recomiendo este producto."
"5713","No es de calidad, carece de buenas terminaciones, veladores no tiene cajonera con riel, lo uso dificulta su uso. No está expresado en la descripción."
"5714","compre esta cama hace un mes y es fantastica, muy comoda
<U+2714> Sí, recomiendo este producto."
"5715","Buena calidad y confort
<U+2714> Sí, recomiendo este producto."
"5716","Compre esta cama super buena calidad !! Me encanto
<U+2714> Sí, recomiendo este producto."
"5717","Compramos hace 4 meses vía web y obtuvimos lo que esperábamos. Destacar el servicio de entrega de Rosen es excelente. No doy 5 estrellas pues tuvimos un retraso de 3 días en el plazo de entrega máximo por culpa del telefonista de Falabella que anotó mal los datos de la casa.
<U+2714> Sí, recomiendo este producto."
"5718","Compré este producto y resultó conforme a mis expectativas. Tiene una bonita presentación, es sobrio y se adecúa a todos los estilos. Cómodo y resulta adecuado a las características físicas por el tipo de colchón por lo confortable.
<U+2714> Sí, recomiendo este producto."
"5719","La mejor inversión para un descanso placentero y eterna durabilidad.
<U+2714> Sí, recomiendo este producto."
"5720","Producto de fácil montaje, buen acabado de piezas, y un colchón con una densidad, que me ha otorgado un mejor descanso que otras marcas.
Como anécdota, puedo señalar que antes de adquirir el producto en cuestión, compré un conjunto de otra marca, la cual cambié por el actual, recomendado por su alta calidad, una buena decisión.
<U+2714> Sí, recomiendo este producto."
"5721","SIEMPRE ME ASEGURO DE COMPRAR PRODUCTOS DE BUENA CALIDAD Y DURADEROS, POR ESO ELIJO ROSEN, HASTA LA FECHA NUNCA ME HA DEFRAUDADO
<U+2714> Sí, recomiendo este producto."
"5722","Compre el producto hace tres meses y es maravilloso
<U+2714> Sí, recomiendo este producto."
"5723","Compré este producto hace tres meses y lo recomiendo muy bueno todo exelente calidad.
<U+2714> Sí, recomiendo este producto."
"5724","me encanta mi cama
<U+2714> Sí, recomiendo este producto."
"5725","me salio buena la cama , ademas necesitaba algo asi con base dividida para poder subir la cama al 2do piso de la casa."
"5726","Es una cama cómoda y que permite optimizar los espacios, estoy muy conforme.
<U+2714> Sí, recomiendo este producto."
"5727","Compré este camarote hace un par de meses atrás, es de muy buena calidad tanto la madera como los colchones, llegó el día señalado y es muy fácil de armar yo mismo lo hice y me demoré un poco más de una hora. Quizá es un poco alto es lo único que cambiaría, 10 centímetros menos estaría bien.
<U+2714> Sí, recomiendo este producto."
"5728","Lo compré por qué vivo en un lugar pequeño y hay que buscar la manera de aprovechar los espacios.
El espacio para guardar es más grande de lo que esperaba.
<U+2714> Sí, recomiendo este producto."
"5729","Hola feliz con mi cama es maravillosisima
<U+2714> Sí, recomiendo este producto."
"5730","La tengo hace 3 meses aprox., es cómoda y firme. Lleva poco tiempo de uso pero es buena porque el colchón sigue como nuevo.
<U+2714> Sí, recomiendo este producto."
